Date,Content,Comment
2025-06-01,https://boxd.it/9ROPR5,é impressionante o tanto que eu gosto das suas análises. são extremamente enriquecedoras. parabéns.
2025-10-18,https://boxd.it/bo286z,eu respeito sua opinião mas sua opinião está errada
2025-12-10,https://boxd.it/bPHeux,Você capturou tudo o que pensei sobre o filme nesse review
2025-12-10,https://boxd.it/9LNBQB,Review fera
2025-12-27,https://boxd.it/ceU8zd,Salve. Preciso assistir esse. Abraços.
2025-12-31,https://boxd.it/8pnHdx,Fera
2026-01-14,https://boxd.it/bJeTzB,Essa cena do parto é uma desgraça de tão ruim
2026-01-22,https://boxd.it/cKEmxh,Me deu vontade de rever
2026-01-22,https://boxd.it/cKEmxh,"Vê os contos do Rohmer. São tão bons que, dos que vi este ano, só consigo pensar neles. E faltam alguns"
2026-01-28,https://boxd.it/cDoOpZ,que review ótimo e filosófico. Marty é narcisista por ser vazio? Acho que todos narcisistas são assim..
2026-02-01,https://boxd.it/cSv3ZZ,Pqp review fera d+.
2026-02-06,https://boxd.it/d0x5nf,Já é um dos meus filmes favoritos dessa década.
2026-02-13,https://boxd.it/4H4Gij,"favorito com razão, amor"
2026-02-16,https://boxd.it/d8XLfV,"Achei a fotografia visualmente bonita, mas ela também me remeteu a anúncio publicitário de 2 hrs. Quando era utilizada a favor da narrativa, funcionava bem, como quando colocaram a câmera na árvore para ela cair, fazendo com que a natureza se tornasse quase mais um personagem da história. Porém, houve vários planos que pareciam dizer “olha como eu sei trabalhar bem com a câmera”... 
Ainda assim, Adolpho Veloso é realmente muito talentoso."
2026-02-16,https://boxd.it/d8GTwr,"uma novela de 2 horas, parabéns Trier"
2026-02-17,https://boxd.it/daqCnt,seus textos são muito bons
2026-02-17,https://boxd.it/3gKDwv,Direto para meu favorito de Rohmer também. Vi agora.
2026-02-17,https://boxd.it/daIIw3,Heat subiu muito a régua pra mim. Curioso pra ver essa estética digital dele em Collateral
2026-02-20,https://boxd.it/bTZ7Ed,"“Enquanto existir fome e salário de miséria, o povo tem que lutar.”"
2026-02-23,https://boxd.it/bAKBPz,Otimo review. Tá muito calor aqui na cidade... vou ter que rever
2026-03-05,https://boxd.it/don1Dz,Por qual filme do Rivette eu começo?
2026-03-05,https://boxd.it/don1Dz,Obrigado!
2026-03-05,https://boxd.it/donL0D, 👏  👏  👏 
2026-03-06,https://boxd.it/cjauhN,Praticamente não há respiro. É só close... repugnante. Ótimo review
2026-03-06,https://boxd.it/doJy9B,"Concordo 100%. O excesso de closes e o ritmo frenético imposto pelo diretor me incomodaram bastante. É um efeito TikTok total. A trilha sonora também reforça essa sensação, já que, pasmem, várias das músicas presentes no filme estão em trends da plataforma"
2026-03-06,https://boxd.it/doJy9B,O cara nem assistiu e tá criticando a review… loucura
2026-03-07,https://boxd.it/bz6Ho1,vc achou esse filme facilmente? Não consigo achar torrent e nem drive kkkk
2026-03-07,https://boxd.it/bz6Ho1,Consegue me mandar? Agradeço muito
2026-03-07,https://boxd.it/bz6Ho1,Obrigado!
2026-03-07,https://boxd.it/doJy9B,"João, um dos poderes da crítica é justamente provocar novas leituras do filme, abrindo espaço para que a gente o reavalie a partir de outros olhares. Isso não é falta de personalidade, mas parte natural do diálogo que o cinema estabelece com quem escreve e com quem lê sobre ele."
2026-03-07,https://boxd.it/doJy9B,"João, opinião própria não significa opinião fixa. A crítica serve justamente para ampliar o olhar sobre o filme. Reassistir e passar a enxergar outras coisas depois de ler um crítico faz parte do processo, não é falta de personalidade."
2026-03-11,https://boxd.it/dt8fhd,"A contradição é que a “bela filmagem” parece operar num registro publicitário - imagens muito calculadas e autoconscientes, que chamam atenção para si mesmas, como se vendessem o filme mais do que o servissem."
2026-03-11,https://boxd.it/dsYTyX,"Opa, salvei sim! Vi o filme pelo seu link mesmo"
2026-03-11,https://boxd.it/dsYTyX,Mto obrigado inclusive!
2026-03-12,https://boxd.it/dtXY3d,curta atras de curta tiao
2026-04-03,https://boxd.it/d1kgqx,"Filme lindo, que transmite movimento nas cenas de uma maneira quase inigualável, e isso acontece até mesmo em momentos em que a câmera tá estática."
2026-04-15,https://boxd.it/dRCVX7,Filmaço absoluto
2026-04-24,https://boxd.it/e5Q2XF,eu curti muito esse quando vi uns anos atrás. É um filme bem dirigido e com o roteiro sendo a peça chave
2026-04-25,https://boxd.it/7nb9SL,"Poucos filmes deixaram de me incomodar com diálogos expositivos, e esse é um deles"
2026-05-07,https://boxd.it/eg1FlR,que stop motion daora!
2026-07-03,https://boxd.it/f2KFBd,Esse é um dos filmes que todo mundo precisa ver. Coloco ele no top 5 do século fácil
2026-07-13,https://boxd.it/eLym8J,textão!
2026-07-13,https://boxd.it/fciat7,<3
2026-08-19,https://boxd.it/eWpqi5,Senti exatamente o mesmo
2026-03-17,https://boxd.it/t1RRG,"Boyfriends and Girlfriends, Eric Rohmer"
2026-07-21,https://boxd.it/VPvO8,te amo 
